brand,category,question,answer,domain,id
SupermarketCo,Household,Can I find any organic laundry detergents at SupermarketCo?,"Yes, we offer a variety of eco-friendly and hypoallergenic sizes.",product,05b57092
SupermarketCo,Household,Are the store promotions for household products valid on all brands or just specific ones?,Our weekend stacking deal applies to select popular house brand items only.,product,995805d0
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Household,What product sizes does the oat flour come in at SupermarketCo?,"The available size for our organic, gluten-free oat flour is a standard 500g pack.",product,4fc1ee05
SupermarketCo,Household,Are there any current promotions on lactose-free milk products at SupermarketCo?,"Yes, purchase two liters of lactose-free milk and get the third one for free. There's no minimum spend required to qualify this promotion.",product,adfc7946
SupermarketCo,Household,Can I find gluten-free products at SupermarketCo?,"Yes, we offer a range of gluten-free household items.",product,06b8089c
SupermarketCo,Household,What is the minimum spend required for using promotional coupons at SupermarketCo?,The eligibility criteria vary by promotion; please check specific offers as they have different spending requirements and conditions to be met.,product,8b332138
SupermarketCo,Household,Can I use the SupermarketCo brand allergy-free bread if my friend has gluten sensitivity?,"Yes, our allergy-free option is suitable for those with specific dietary needs.",product,6c439b19
SupermarketCo,Household,Is there a promotion at SupermarketCo where customers can earn points on multiple products' purchases in the household category?,Earn double loyalty points when you buy two or more of our eco-friendly cleaning supplies during Happy Clean Home week.,product,f94ef642
SupermarketCo,Household,What are the size options for SupermarketCo's biodegradable dish sponges?,"The available sizes include small, medium, and large.",product,11a2a099
SupermarketCo,Household,Are there any promotions on gluten-free products at SupermarketCo currently?,Eligible customers can avail 10% off on all selected gluten-free items during their next visit by using the special discount code 'GFBOUNTY'.,product,4c8fa846
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Household,Question about household products?,This product category follows standard availability and promotion rules.,product,cf7e39ac
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,What sizes are available for the SupermarketCo organic apple juice?,The product is only available in a 1-liter size.,product,07156a14
SupermarketCo,Beverages,"Are there any promotions on bottled water from SupermarketCo, and do I need to spend anything extra to qualify?",SupermarketCo has a Buy One Get One Free promotion for the premium sparkling mineral water when you spend $20 or more.,product,102f7593
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,What are the common allergens found in SupermarketCo's beverener drink?,The most frequent allergens include soy and almond.,product,6e266ed1
SupermarketCo,Beverages,"Is there a promotion for first-time buyers at SupermarketCo, and what do I need to know about it?","Yes, new customers can receive an additional 10% discount on their first beverener purchase by using the promo code NEWBREWER.",product,9e74501b
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Can I find non-alcoholic beer options at SupermarketCo?,"Yes, we offer a variety of non-alcoholic and low/no sugar content options.",product,6a79f9f6
SupermarketCo,Beverages,What promotions are available for purchasing canned soda in bulk at SupermarketCo?,"Bulk purchase offers require minimum spend to qualify; however, specific amounts vary by product. Look out for signage or visit our website during ongoing deals.",product,37501961
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,Question about beverages products?,This product category follows standard availability and promotion rules.,product,32c9c603
SupermarketCo,Beverages,What sizes of the Green Tea Latte are available?,"Sizes include Small (8 oz), Medium (12 oz), and Large (16 oz).",product,a07d008d
SupermarketCo,Beverages,Are there any dairy-free versions of the Mocha Frappe at SupermarketCo?,"Yes, we offer a Dairy-Free version using almond milk.",product,c677deb4
